img,filename,caption,sentid
29606,75375389.jpg,Several young children are enjoying juice boxes while an older boy holds a soccer ball.,148030
29606,75375389.jpg,"Some of the ten children have juice boxes, one has a volleyball.",148031
29606,75375389.jpg,The children are eating food and drinking juice boxes.,148032
29606,75375389.jpg,Children drinking from juice cartons.,148033
29606,75375389.jpg,Family enjoying some juice boxes.,148034
13478,3415178926.jpg,A man dressed for cold weather plays with a stick with his black and brown dog.,67390
13478,3415178926.jpg,A man in orange pants and brown vest is playing tug-of-war with a dog.,67391
13478,3415178926.jpg,A man tugging on a stick that a little dog has in his mouth,67392
13478,3415178926.jpg,A man in a brown vest and glasses plays with a brown dog.,67393
13478,3415178926.jpg,A man tries to take a stick away from a brown dog.,67394
26571,5602731697.jpg,A group of 6 men are attempting to pick up or move a heavy missile looking object that is supported by a chicken foot.,132855
26571,5602731697.jpg,Four men in purple shirts and two in dark gray moving a sculpture.,132856
26571,5602731697.jpg,A group of men place a chicken foot statue in its setting.,132857
26571,5602731697.jpg,Some men are trying to place a statue down on the ground,132858
26571,5602731697.jpg,A group of men are carrying playground equipment.,132859
14715,3557595549.jpg,A young boy in orange swimming trunks gets ready to jump off the diving board.,73575
14715,3557595549.jpg,A boy in orange swim trunks stands on a diving board above a pool.,73576
14715,3557595549.jpg,A child wearing red swim trunks preparing to dive into a pool.,73577
14715,3557595549.jpg,A kid with red short about to jump into the pool,73578
14715,3557595549.jpg,Young man preparing to take a dive in the pool.,73579
1445,1425013325.jpg,Two dogs are playing with each other on a beach by the ocean.,7225
1445,1425013325.jpg,Two big German Shepherd dogs play in the water.,7226
1445,1425013325.jpg,Two black dogs splash around on the beach.,7227
1445,1425013325.jpg,Two dogs play together splashing in a lake,7228
1445,1425013325.jpg,Two dogs playing in water on the beach,7229
9046,2867937005.jpg,A girl in a pink tutu doing a handstand on a couch.,45230
9046,2867937005.jpg,A girl in a pink dress is standing on her head.,45231
9046,2867937005.jpg,A girl in a pink tutu standing on her head.,45232
9046,2867937005.jpg,A girl in a pick dress stands upside down.,45233
9046,2867937005.jpg,A girl wearing pink does a handstand.,45234
17921,4145746372.jpg,A group of people in costumes are holding their arms in the air in the manner of the finale of a musical number.,89605
17921,4145746372.jpg,Young women in colorful costumes raise their hands in happiness.,89606
17921,4145746372.jpg,Colorfully-dressed women on stage throw their hands in the air.,89607
17921,4145746372.jpg,A group of people extending their open hands into the air.,89608
17921,4145746372.jpg,A group of brightly-colored performers pose as a group.,89609
17023,392467282.jpg,Two brown dogs are running over snow in a line.,85115
17023,392467282.jpg,Two big brown dogs running through the snow.,85116
17023,392467282.jpg,Two brown dogs walking through snow.,85117
17023,392467282.jpg,Two weimaraners running in the snow.,85118
17023,392467282.jpg,Two dogs running in the snow,85119
14170,3495815292.jpg,A man with red-hair dressed in a reflective jacket leans against a wooden railing.,70850
14170,3495815292.jpg,A man standing looking sad with cleaner and a tool next to him.,70851
14170,3495815292.jpg,A man with red-hair leans against a brown fence.,70852
14170,3495815292.jpg,A man in a yellow jacket leaning on a railing.,70853
